🇨🇳󠁧󠁢󠁥󠁮央视频道,#genre#
CCTV1-综合,http://39.134.66.4/PLTV/88888888/224/3221225816/index.m3u8
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV1-综合,http://111.40.196.9/PLTV/88888888/224/3221225769/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8$江西宜春8M
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV1-综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/TVOD/88888910/224/3221225630/index.m3u8
CCTV1-综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合,http://111.59.189.40:8445/tsfile/live/1000_1.m3u8
CCTV1-综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225762/index.m3u8
CCTV1-综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225630/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225762/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225918/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221226225/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221226221/index.m3u8
CCTV1-综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合,http://111.40.196.9/PLTV/88888888/224/3221225513/index.m3u8
CCTV1-综合,http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8
CCTV1-综合,http://111.20.33.93/TVOD/88888893/224/3221226239/index.m3u8
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV1-综合,http://111.20.33.93/PLTV/88888893/224/3221226010/index.m3u8
CCTV1-综合,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8
